sampleid,czb_id,sample_type,henipavirus,roost_site,latitude_s,longitude_e,collection_date,bat_species,bat_sex,unique_tag_id,recap,bat_age_class,notes
MIZ278,RR034B_463_uaRa,urine,0,Maromizaha,-18.9623,48.4525,1/3/19,Rousettus madagascariensis,female,M112,no,L,
MIZ279,RR034B_464_uaRa,urine,0,Maromizaha,-18.9623,48.4525,1/3/19,Rousettus madagascariensis,female,M113,no,L,
MIZ280,RR034B_465_uaRa,urine,0,Maromizaha,-18.9623,48.4525,1/3/19,Rousettus madagascariensis,male,M114,no,A,
MIZ281,RR034B_466_uaRa,urine,0,Maromizaha,-18.9623,48.4525,1/3/19,Rousettus madagascariensis,male,M115,no,A,
MIZ281,RR034B_509_uaRa,urine,0,Maromizaha,-18.9623,48.4525,1/3/19,Rousettus madagascariensis,male,M115,no,A,
MIZ292,RR034B_467_uaRa,urine,0,Maromizaha,-18.9623,48.4525,1/4/19,Rousettus madagascariensis,male,M121,no,A,
MIZ293,RR034B_468_uaRa,urine,0,Maromizaha,-18.9623,48.4525,1/4/19,Rousettus madagascariensis,male,M122,no,A,
MIZ294,RR034B_469_uaRa,urine,0,Maromizaha,-18.9623,48.4525,1/4/19,Rousettus madagascariensis,male,M123,no,A,
MIZ295,RR034B_470_uaRa,urine,0,Maromizaha,-18.9623,48.4525,1/4/19,Rousettus madagascariensis,female,M124,no,L,
MIZ297,RR034B_471_uaRa,urine,0,Maromizaha,-18.9623,48.4525,1/5/19,Rousettus madagascariensis,male,M125,no,A,
MIZ315,RR034B_474_uaRa,urine,0,Maromizaha,-18.9623,48.4525,1/9/19,Rousettus madagascariensis,female,M136,no,L,
MIZ316,RR034B_475_uaRa,urine,0,Maromizaha,-18.9623,48.4525,1/9/19,Rousettus madagascariensis,female,M137,no,L,
MIZ318,RR034B_476_uaRa,urine,0,Maromizaha,-18.9623,48.4525,1/9/19,Rousettus madagascariensis,male,M139,no,A,
MIZ322,RR034B_477_uaRa,urine,0,Maromizaha,-18.9623,48.4525,1/9/19,Rousettus madagascariensis,female,M143,no,L,
MIZ338,RR034B_478_uaRa,urine,0,Maromizaha,-18.9623,48.4525,1/31/19,Rousettus madagascariensis,female,2080,no,L,
MIZ340,RR034B_479_uaRa,urine,0,Maromizaha,-18.9623,48.4525,1/31/19,Rousettus madagascariensis,female,2041,no,L,
MIZ342,RR034B_480_uaRa,urine,0,Maromizaha,-18.9623,48.4525,1/31/19,Rousettus madagascariensis,female,2059,no,L,
MIZ345,RR034B_481_uaRa,urine,0,Maromizaha,-18.9623,48.4525,1/31/19,Rousettus madagascariensis,female,,no,J,
MIZ351,RR034B_482_uaRa,urine,0,Maromizaha,-18.9623,48.4525,2/1/19,Rousettus madagascariensis,female,1780,no,L,
MIZ352,RR034B_483_uaRa,urine,0,Maromizaha,-18.9623,48.4525,2/1/19,Rousettus madagascariensis,male,1778,no,A,
MIZ355,RR034B_484_uaRa,urine,0,Maromizaha,-18.9623,48.4525,2/1/19,Rousettus madagascariensis,female,1703,no,NL,
MIZ357,RR034B_485_uaRa,urine,0,Maromizaha,-18.9623,48.4525,2/1/19,Rousettus madagascariensis,male,1758,no,A,
MIZ359,RR034B_486_uaRa,urine,0,Maromizaha,-18.9623,48.4525,2/1/19,Rousettus madagascariensis,female,1736,yes,L,
MIZ366,RR034B_487_uaRa,urine,0,Maromizaha,-18.9623,48.4525,2/1/19,Rousettus madagascariensis,female,1704,no,NL,
MIZ378,RR034B_488_uaRa,urine,0,Maromizaha,-18.9623,48.4525,2/23/19,Rousettus madagascariensis,female,1604_2,no,J,
MIZ392,RR034B_489_uaRa,urine,0,Maromizaha,-18.9623,48.4525,2/24/19,Rousettus madagascariensis,female,,no,J,
